order,jid,reduced_composition_group,chemical_system_group,element_count,jid_order_fold,chemical_system_fold
39,JVASP-100134,Li2BiS2,Bi-Li-S,3,0,2
40,JVASP-100137,SrH2,H-Sr,2,0,1
41,JVASP-10014,Rb2SiAs2,As-Rb-Si,3,0,3
42,JVASP-100143,AlGaCo2,Al-Co-Ga,3,0,3
43,JVASP-100150,BaYb3,Ba-Yb,2,0,1
44,JVASP-100152,CaMg,Ca-Mg,2,0,2
45,JVASP-100153,CaYb3,Ca-Yb,2,0,0
46,JVASP-100154,CdPd3,Cd-Pd,2,0,0
47,JVASP-100155,CoW3,Co-W,2,0,2
48,JVASP-100159,CoNi3,Co-Ni,2,0,0
49,JVASP-10016,Be3N2,Be-N,2,0,0
50,JVASP-100162,DyHo3,Dy-Ho,2,0,3
51,JVASP-100164,Eu2AgPt,Ag-Eu-Pt,3,0,3
52,JVASP-100167,GaBi3,Bi-Ga,2,0,1
53,JVASP-10017,NaAgO,Ag-Na-O,3,0,0
54,JVASP-100170,Cu3Rh,Cu-Rh,2,0,2
55,JVASP-100174,Eu2ZnGa,Eu-Ga-Zn,3,0,0
56,JVASP-100175,Fe3Cu,Cu-Fe,2,0,3
57,JVASP-100178,Eu2SbAu,Au-Eu-Sb,3,0,1
58,JVASP-10018,K2SiAs2,As-K-Si,3,0,1
59,JVASP-100180,Ho3Er,Er-Ho,2,0,1
60,JVASP-100182,Hg,Hg,1,0,1
61,JVASP-100184,HI3,H-I,2,0,0
62,JVASP-100187,KYO3,K-O-Y,3,0,1
63,JVASP-100188,Li2CeGa,Ce-Ga-Li,3,0,1
64,JVASP-10019,Sr(GaTe2)2,Ga-Sr-Te,3,1,3
65,JVASP-100193,KBa3,Ba-K,2,1,1
66,JVASP-100195,Li3Ho,Ho-Li,2,1,1
67,JVASP-100198,LiNi2Sb,Li-Ni-Sb,3,1,2
68,JVASP-100199,LiAg3,Ag-Li,2,1,3
69,JVASP-1002,Si,Si,1,1,1
70,JVASP-10020,BaSeO3,Ba-O-Se,3,1,2
71,JVASP-100202,MgVRu2,Mg-Ru-V,3,1,2
72,JVASP-100208,MgSc,Mg-Sc,2,1,3
73,JVASP-10021,LiYO2,Li-O-Y,3,1,2
74,JVASP-100210,MgSc2Hg,Hg-Mg-Sc,3,1,3
75,JVASP-100211,MnHg3,Hg-Mn,2,1,1
76,JVASP-100212,Na3Si,Na-Si,2,1,0
77,JVASP-100219,PrDy3,Dy-Pr,2,1,0
78,JVASP-10022,Mg(SbO2)2,Mg-O-Sb,3,1,0
79,JVASP-100229,Th3In,In-Th,2,1,2
80,JVASP-10023,Mg(SnO2)2,Mg-O-Sn,3,1,3
81,JVASP-100231,SrCa3,Ca-Sr,2,1,1
82,JVASP-100233,Tb3Hg,Hg-Tb,2,1,1
83,JVASP-100234,Tb3Er,Er-Tb,2,1,0
84,JVASP-100235,Tb3Zr,Tb-Zr,2,1,0
85,JVASP-10024,Mg(BiO2)2,Bi-Mg-O,3,1,0
86,JVASP-100244,Tl3Sb,Sb-Tl,2,1,1
87,JVASP-100245,TlAu3,Au-Tl,2,1,1
88,JVASP-10025,Mg(AgO2)2,Ag-Mg-O,3,1,2
89,JVASP-100251,U3Ge,Ge-U,2,1,0
90,JVASP-100252,VAu3,Au-V,2,1,0
91,JVASP-100253,UHgO3,Hg-O-U,3,1,3
92,JVASP-100256,Tm3In,In-Tm,2,1,2
93,JVASP-100259,Y3In,In-Y,2,1,0
94,JVASP-10026,Zn(SnO2)2,O-Sn-Zn,3,1,1
95,JVASP-100260,YbAlAg2,Ag-Al-Yb,3,1,1
96,JVASP-100261,Yb3Pb,Pb-Yb,2,1,3
97,JVASP-100264,ZrSbRu2,Ru-Sb-Zr,3,1,2
98,JVASP-100266,Zr3Cd,Cd-Zr,2,1,0
99,JVASP-100275,NdLuS3,Lu-Nd-S,3,1,0
100,JVASP-100277,DyRu3C,C-Dy-Ru,3,1,3
101,JVASP-100283,NdIn,In-Nd,2,1,1
102,JVASP-100287,SmNiBi,Bi-Ni-Sm,3,1,3
103,JVASP-10029,CrF5,Cr-F,2,1,1
104,JVASP-100290,LiCa2Ge,Ca-Ge-Li,3,1,0
105,JVASP-100292,SrPAu,Au-P-Sr,3,1,0
106,JVASP-100293,Dy(SiAg)2,Ag-Dy-Si,3,1,0
107,JVASP-100298,Rb(CoAs)2,As-Co-Rb,3,1,2
108,JVASP-100299,TbBiPd,Bi-Pd-Tb,3,1,1
109,JVASP-100304,ScTaN2,N-Sc-Ta,3,1,1
110,JVASP-100308,CrFeCoSi,Co-Cr-Fe-Si,4,1,2
111,JVASP-10031,Ca(BiO2)2,Bi-Ca-O,3,1,3
112,JVASP-100312,ZrTiCo4,Co-Ti-Zr,3,1,2
113,JVASP-100313,ZrSc,Sc-Zr,2,1,1
114,JVASP-100316,YbTmSe2,Se-Tm-Yb,3,1,0
115,JVASP-100319,YbAlCu,Al-Cu-Yb,3,1,1
116,JVASP-100327,U2AsP,As-P-U,3,1,2
117,JVASP-10033,Zn(BiO2)2,Bi-O-Zn,3,1,3
118,JVASP-100331,TiBi2(O2F)2,Bi-F-O-Ti,4,1,0
119,JVASP-100332,Ti2AlCr,Al-Cr-Ti,3,1,3
120,JVASP-100334,TeSe,Se-Te,2,1,1
121,JVASP-100335,TcNi,Ni-Tc,2,1,1
122,JVASP-100338,TbAlCu,Al-Cu-Tb,3,1,0
123,JVASP-100339,TbCu2Ni3,Cu-Ni-Tb,3,1,1
124,JVASP-10034,SbO2,O-Sb,2,1,3
125,JVASP-100343,SrNdAlO4,Al-Nd-O-Sr,4,1,1
126,JVASP-100350,SmCo2Ni3,Co-Ni-Sm,3,1,3
127,JVASP-100356,RbLiZnS2,Li-Rb-S-Zn,4,1,0
128,JVASP-10036,TiO2,O-Ti,2,2,2
129,JVASP-100364,NbMoO4,Mo-Nb-O,3,2,0
130,JVASP-100366,NaYZrS4,Na-S-Y-Zr,4,2,3
131,JVASP-100367,NaSm2Se3,Na-Se-Sm,3,2,0
132,JVASP-100368,NaO2,Na-O,2,2,0
133,JVASP-100369,Na4SrCaSi2,Ca-Na-Si-Sr,4,2,3
134,JVASP-10037,SnO2,O-Sn,2,2,0
135,JVASP-100371,Mo2AsP3,As-Mo-P,3,2,2
136,JVASP-100373,Mn2NiO3,Mn-Ni-O,3,2,1
137,JVASP-100374,Mn2GaRh,Ga-Mn-Rh,3,2,1
138,JVASP-100375,LiHoSe2,Ho-Li-Se,3,2,3
139,JVASP-100385,Hf2AlSi,Al-Hf-Si,3,2,2
140,JVASP-100387,K(SiPd)4,K-Pd-Si,3,2,1
141,JVASP-100389,K4NaCl5,Cl-K-Na,3,2,0
142,JVASP-10039,Mg(SbO2)2,Mg-O-Sb,3,2,0
143,JVASP-100393,HfSc,Hf-Sc,2,2,2
144,JVASP-100395,GeTe2Pb,Ge-Pb-Te,3,2,3
145,JVASP-100396,GeTe(PbSe)2,Ge-Pb-Se-Te,4,2,1
146,JVASP-100397,GeAsW,As-Ge-W,3,2,3
147,JVASP-100399,GaAgTe2,Ag-Ga-Te,3,2,3
148,JVASP-100408,Eu2Co5Ge3,Co-Eu-Ge,3,2,0
149,JVASP-100414,CePaO4,Ce-O-Pa,3,2,2
150,JVASP-100420,Cd5TeS4,Cd-S-Te,3,2,2
151,JVASP-100424,CaBiNO5,Bi-Ca-N-O,4,2,2
152,JVASP-100426,BaSrTi2O6,Ba-O-Sr-Ti,4,2,3
153,JVASP-100427,BiPbIO2,Bi-I-O-Pb,4,2,1
154,JVASP-100428,BaAlSn,Al-Ba-Sn,3,2,1
155,JVASP-100434,AlIn(AgS2)2,Ag-Al-In-S,4,2,2
156,JVASP-100442,ZnMoN2,Mo-N-Zn,3,2,2
157,JVASP-100443,Si2SeN2,N-Se-Si,3,2,2
158,JVASP-100444,ScAlN2,Al-N-Sc,3,2,2
159,JVASP-100445,Sr2PdN2,N-Pd-Sr,3,2,0
160,JVASP-100449,Li2CoN2,Co-Li-N,3,2,3
161,JVASP-100450,ZrPbN2,N-Pb-Zr,3,2,1
162,JVASP-100454,Li2CoNiO4,Co-Li-Ni-O,4,2,3
163,JVASP-100457,MnSnF6,F-Mn-Sn,3,2,2
164,JVASP-100464,Cr2HO4,Cr-H-O,3,2,2
165,JVASP-100467,LiFe2(ClO)2,Cl-Fe-Li-O,4,2,1
166,JVASP-100468,RbSrCO3F,C-F-O-Rb-Sr,5,2,2
167,JVASP-100469,MnCuNiSn,Cu-Mn-Ni-Sn,4,2,3
168,JVASP-10048,Mn2ZnO4,Mn-O-Zn,3,2,2
169,JVASP-100486,Er2MgTc,Er-Mg-Tc,3,2,3
170,JVASP-100487,Eu2TlIn,Eu-In-Tl,3,2,3
171,JVASP-100489,Ho2ZnPt,Ho-Pt-Zn,3,2,1
172,JVASP-100493,LiPr2Al,Al-Li-Pr,3,2,0
173,JVASP-100496,Nd3Ti,Nd-Ti,2,2,0
174,JVASP-100499,PmTmAl2,Al-Pm-Tm,3,2,1
175,JVASP-1005,Sm,Sm,1,2,2
176,JVASP-10050,V2ZnO4,O-V-Zn,3,2,2
177,JVASP-100500,Pr3Zn,Pr-Zn,2,2,3
178,JVASP-100503,Sc2GaPd,Ga-Pd-Sc,3,2,0
179,JVASP-100504,Sr2LiGa,Ga-Li-Sr,3,2,0
180,JVASP-100505,Sr3Sc,Sc-Sr,2,2,1
181,JVASP-100508,TbPu,Pu-Tb,2,2,2
182,JVASP-100509,Ti2MoPd,Mo-Pd-Ti,3,2,0
183,JVASP-10051,MgMn2O4,Mg-Mn-O,3,2,1
184,JVASP-100510,Ti3Cd,Cd-Ti,2,2,0
185,JVASP-100511,TiZn2Pd,Pd-Ti-Zn,3,2,2
186,JVASP-100513,TmRh3,Rh-Tm,2,2,2
187,JVASP-100514,YbDyZn2,Dy-Yb-Zn,3,2,2
188,JVASP-100518,YbEu3,Eu-Yb,2,2,1
189,JVASP-100519,NaScTl2F6,F-Na-Sc-Tl,4,2,2
190,JVASP-100522,ErMgIn,Er-In-Mg,3,2,0
191,JVASP-100529,SmAgGe,Ag-Ge-Sm,3,2,1
192,JVASP-10053,VO2,O-V,2,3,1
193,JVASP-100535,YbMnCuP2,Cu-Mn-P-Yb,4,3,0
194,JVASP-100536,TiB2W,B-Ti-W,3,3,1
195,JVASP-100537,Ti2HC,C-H-Ti,3,3,1
196,JVASP-100539,TbHo,Ho-Tb,2,3,3
197,JVASP-100541,SrEuTe2,Eu-Sr-Te,3,3,2
198,JVASP-100542,SrCeAlO4,Al-Ce-O-Sr,4,3,2
199,JVASP-100544,Sr2MnSbO6,Mn-O-Sb-Sr,4,3,2
200,JVASP-100545,SnTePbSe,Pb-Se-Sn-Te,4,3,2
201,JVASP-100547,SiPN3,N-P-Si,3,3,2
202,JVASP-10055,Mg(CoO2)2,Co-Mg-O,3,3,1
203,JVASP-100553,MgCd(CO3)2,C-Cd-Mg-O,4,3,1
204,JVASP-100557,KCeF4,Ce-F-K,3,3,3
205,JVASP-100559,K2PtBr6,Br-K-Pt,3,3,2
206,JVASP-10056,Zn(CoO2)2,Co-O-Zn,3,3,3
207,JVASP-100560,Hf4AlSi,Al-Hf-Si,3,3,2
208,JVASP-100571,KNa2ScF6,F-K-Na-Sc,4,3,0
209,JVASP-100572,Rb2IrAuF6,Au-F-Ir-Rb,4,3,3
210,JVASP-100573,K2RbScCl6,Cl-K-Rb-Sc,4,3,0
211,JVASP-100575,K2NaMoBr6,Br-K-Mo-Na,4,3,3
212,JVASP-100576,RbAuF3,Au-F-Rb,3,3,3
213,JVASP-100585,Na2YCuCl6,Cl-Cu-Na-Y,4,3,2
214,JVASP-100590,KRb2AsF6,As-F-K-Rb,4,3,3
215,JVASP-100591,RuPt,Pt-Ru,2,3,0
216,JVASP-100593,NiS2,Ni-S,2,3,3
217,JVASP-100594,Ac2MgTl,Ac-Mg-Tl,3,3,0
218,JVASP-100595,AlGaIr2,Al-Ga-Ir,3,3,3
219,JVASP-100596,Ga3Te,Ga-Te,2,3,1
220,JVASP-100597,DyY3,Dy-Y,2,3,2
221,JVASP-100600,Hf3Hg,Hf-Hg,2,3,2
222,JVASP-100603,HoMg2,Ho-Mg,2,3,0
223,JVASP-100606,LiSc2Ga,Ga-Li-Sc,3,3,1
224,JVASP-100609,MgGe3,Ge-Mg,2,3,1
225,JVASP-100610,Na3Yb,Na-Yb,2,3,2
226,JVASP-100612,Nd2InHg,Hg-In-Nd,3,3,1
227,JVASP-100614,PmNdZn2,Nd-Pm-Zn,3,3,2
228,JVASP-100617,Sc3Sn,Sc-Sn,2,3,3
229,JVASP-100619,YbPmCd2,Cd-Pm-Yb,3,3,0
230,JVASP-100620,YbBiRh2,Bi-Rh-Yb,3,3,3
231,JVASP-100621,Rb3EuF6,Eu-F-Rb,3,3,2
232,JVASP-100622,TiMnAs,As-Mn-Ti,3,3,1
233,JVASP-100629,KRb2InF6,F-In-K-Rb,4,3,0
234,JVASP-10063,CoO2,Co-O,2,3,0
235,JVASP-100631,ZnInGaO4,Ga-In-O-Zn,4,3,1
236,JVASP-100633,VCu3(SeS)2,Cu-S-Se-V,4,3,3
237,JVASP-100634,V6CoIr,Co-Ir-V,3,3,3
238,JVASP-100637,TaO2F,F-O-Ta,3,3,3
239,JVASP-100639,Ta2CrSi6,Cr-Si-Ta,3,3,2
240,JVASP-10064,MnO2,Mn-O,2,3,0
241,JVASP-100640,Ta2InS4,In-S-Ta,3,3,3
242,JVASP-100643,Sc2Se3,Sc-Se,2,3,2
243,JVASP-100645,Nb6PtAu,Au-Nb-Pt,3,3,3
244,JVASP-100646,Nb6SiSn,Nb-Si-Sn,3,3,1
245,JVASP-100649,MnCrSi2,Cr-Mn-Si,3,3,1
246,JVASP-100650,LiInO2,In-Li-O,3,3,0
247,JVASP-100655,HoMnIn,Ho-In-Mn,3,3,2
248,JVASP-100657,Hf(US)3,Hf-S-U,3,3,3
249,JVASP-100658,HfInPd2,Hf-In-Pd,3,3,0
250,JVASP-10066,NiO2,Ni-O,2,3,2
251,JVASP-100663,CeZrO4,Ce-O-Zr,3,3,0
252,JVASP-100664,CeMnSi2Pd,Ce-Mn-Pd-Si,4,3,1
253,JVASP-100665,BaGa2GeS6,Ba-Ga-Ge-S,4,3,3
254,JVASP-100666,AlCrGe,Al-Cr-Ge,3,3,2
255,JVASP-100667,AgBiPbS3,Ag-Bi-Pb-S,4,3,3
